;labour;power;capital;money;capitalist;means;working;day;surplus;hours;production;form;process;value;commodities;commodity;work;time;labourer
labour;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
power;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
capital;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
money;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
capitalist;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
means;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
working;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
day;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
surplus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
hours;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
production;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
form;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
process;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
value;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
commodities;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
commodity;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
work;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
time;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
labourer;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
