;price;trade;great;country;produce;land;people;silver;quantity;capital;different;greater;time;money;labour;value;revenue
price;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
trade;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
great;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
country;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
produce;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
land;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
people;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
silver;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
quantity;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
capital;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
different;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
greater;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
time;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
money;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
labour;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
value;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
revenue;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
